,Metropolitan,County,Total Law Enforcement Employees,Total Officers,Total Civilians,State
98,,Stoddard,28.0,12.0,16.0,MISSOURI
99,,Stone,58.0,48.0,10.0,MISSOURI
100,,Sullivan,5.0,4.0,1.0,MISSOURI
101,,Taney,54.0,38.0,16.0,MISSOURI
102,,Texas,12.0,11.0,1.0,MISSOURI
103,,Vernon,35.0,20.0,15.0,MISSOURI
104,,Washington,35.0,22.0,13.0,MISSOURI
105,,Wayne,17.0,7.0,10.0,MISSOURI
106,,Worth,4.0,3.0,1.0,MISSOURI
107,,Wright,13.0,6.0,7.0,MISSOURI
0,True,New Castle County Police Department,483.0,367.0,116.0,DELAWARE
0,True,Benton,31.0,12.0,19.0,IOWA
1,,Black Hawk,137.0,95.0,42.0,IOWA
2,,Bremer,32.0,12.0,20.0,IOWA
3,,Dallas,58.0,24.0,34.0,IOWA
4,,Dubuque,87.0,72.0,15.0,IOWA
5,,Grundy,16.0,12.0,4.0,IOWA
6,,Guthrie,14.0,9.0,5.0,IOWA
7,,Harrison,11.0,10.0,1.0,IOWA
8,,Johnson,90.0,68.0,22.0,IOWA
9,,Jones,24.0,10.0,14.0,IOWA
10,,Linn,188.0,121.0,67.0,IOWA
11,,Madison,16.0,8.0,8.0,IOWA
12,,Mills,27.0,11.0,16.0,IOWA
13,,Plymouth,31.0,11.0,20.0,IOWA
14,,Polk,459.0,127.0,332.0,IOWA
15,,Pottawattamie,200.0,54.0,146.0,IOWA
16,,Scott,153.0,43.0,110.0,IOWA
17,,Story,85.0,31.0,54.0,IOWA
18,,Warren,36.0,20.0,16.0,IOWA
19,,Washington,36.0,17.0,19.0,IOWA
20,,Woodbury,129.0,38.0,91.0,IOWA
21,False,Adair,13.0,5.0,8.0,IOWA
22,,Adams,11.0,6.0,5.0,IOWA
23,,Allamakee,17.0,9.0,8.0,IOWA
24,,Appanoose,15.0,7.0,8.0,IOWA
25,,Audubon,10.0,6.0,4.0,IOWA
26,,Boone,29.0,11.0,18.0,IOWA
27,,Buchanan,28.0,13.0,15.0,IOWA
28,,Buena Vista,34.0,13.0,21.0,IOWA
29,,Butler,18.0,12.0,6.0,IOWA
30,,Calhoun,11.0,6.0,5.0,IOWA
31,,Carroll,22.0,9.0,13.0,IOWA
32,,Cass,12.0,9.0,3.0,IOWA
33,,Cedar,36.0,13.0,23.0,IOWA
34,,Cerro Gordo,73.0,20.0,53.0,IOWA
35,,Cherokee,20.0,7.0,13.0,IOWA
36,,Chickasaw,15.0,8.0,7.0,IOWA
37,,Clarke,20.0,7.0,13.0,IOWA
38,,Clay,23.0,10.0,13.0,IOWA
39,,Clayton,26.0,12.0,14.0,IOWA
40,,Clinton,43.0,25.0,18.0,IOWA
41,,Crawford,15.0,10.0,5.0,IOWA
42,,Davis,6.0,5.0,1.0,IOWA
43,,Decatur,17.0,6.0,11.0,IOWA
44,,Delaware,20.0,13.0,7.0,IOWA
45,,Des Moines,47.0,20.0,27.0,IOWA
46,,Dickinson,19.0,9.0,10.0,IOWA
47,,Emmet,18.0,9.0,9.0,IOWA
48,,Fayette,37.0,12.0,25.0,IOWA
49,,Floyd,18.0,11.0,7.0,IOWA
50,,Franklin,10.0,7.0,3.0,IOWA
51,,Fremont,26.0,9.0,17.0,IOWA
52,,Greene,16.0,7.0,9.0,IOWA
53,,Hamilton,26.0,10.0,16.0,IOWA
54,,Hancock,11.0,11.0,0.0,IOWA
55,,Hardin,31.0,11.0,20.0,IOWA
56,,Henry,30.0,11.0,19.0,IOWA
57,,Howard,16.0,9.0,7.0,IOWA
58,,Humboldt,15.0,9.0,6.0,IOWA
59,,Ida,17.0,10.0,7.0,IOWA
60,,Iowa,28.0,12.0,16.0,IOWA
61,,Jackson,17.0,10.0,7.0,IOWA
62,,Jasper,46.0,17.0,29.0,IOWA
63,,Jefferson,29.0,27.0,2.0,IOWA
64,,Keokuk,11.0,6.0,5.0,IOWA
65,,Kossuth,25.0,10.0,15.0,IOWA
66,,Lee,35.0,15.0,20.0,IOWA
67,,Louisa,28.0,11.0,17.0,IOWA
68,,Lucas,12.0,5.0,7.0,IOWA
69,,Lyon,26.0,12.0,14.0,IOWA
70,,Mahaska,23.0,9.0,14.0,IOWA
71,,Marion,36.0,15.0,21.0,IOWA
72,,Marshall,55.0,19.0,36.0,IOWA
73,,Mitchell,16.0,7.0,9.0,IOWA
74,,Monona,18.0,8.0,10.0,IOWA
75,,Monroe,14.0,5.0,9.0,IOWA
76,,Montgomery,19.0,8.0,11.0,IOWA
77,,Muscatine,70.0,21.0,49.0,IOWA
78,,O'Brien,28.0,9.0,19.0,IOWA
79,,Osceola,13.0,9.0,4.0,IOWA
80,,Page,16.0,8.0,8.0,IOWA
81,,Palo Alto,17.0,8.0,9.0,IOWA
82,,Pocahontas,15.0,7.0,8.0,IOWA
83,,Ringgold,12.0,6.0,6.0,IOWA
84,,Sac,19.0,8.0,11.0,IOWA
85,,Shelby,15.0,9.0,6.0,IOWA
86,,Sioux,40.0,14.0,26.0,IOWA
87,,Tama,22.0,13.0,9.0,IOWA
88,,Taylor,13.0,9.0,4.0,IOWA
89,,Union,12.0,6.0,6.0,IOWA
90,,Van Buren,11.0,5.0,6.0,IOWA
91,,Wapello,44.0,12.0,32.0,IOWA
92,,Wayne,15.0,6.0,9.0,IOWA
93,,Webster,32.0,16.0,16.0,IOWA
94,,Winneshiek,23.0,10.0,13.0,IOWA
95,,Worth,25.0,13.0,12.0,IOWA
96,,Wright,20.0,9.0,11.0,IOWA
0,True,Aransas,72.0,26.0,46.0,TEXAS
1,,Archer,20.0,9.0,11.0,TEXAS
2,,Armstrong,8.0,4.0,4.0,TEXAS
3,,Austin,71.0,43.0,28.0,TEXAS
4,,Bandera,64.0,27.0,37.0,TEXAS
5,,Bastrop,211.0,76.0,135.0,TEXAS
6,,Bell,309.0,104.0,205.0,TEXAS
7,,Bowie,42.0,35.0,7.0,TEXAS
8,,Brazoria,341.0,129.0,212.0,TEXAS
9,,Brazos,227.0,99.0,128.0,TEXAS
10,,Burleson,43.0,17.0,26.0,TEXAS
11,,Caldwell,96.0,32.0,64.0,TEXAS
12,,Callahan,12.0,5.0,7.0,TEXAS
13,,Cameron,501.0,114.0,387.0,TEXAS
14,,Clay,23.0,12.0,11.0,TEXAS
15,,Collin,470.0,156.0,314.0,TEXAS
16,,Comal,283.0,151.0,132.0,TEXAS
17,,Coryell,75.0,33.0,42.0,TEXAS
18,,Crosby,14.0,5.0,9.0,TEXAS
19,,Dallas,2243.0,423.0,1820.0,TEXAS
20,,Ector,229.0,80.0,149.0,TEXAS
21,,Ellis,220.0,80.0,140.0,TEXAS
22,,El Paso,1012.0,253.0,759.0,TEXAS
23,,Falls,26.0,7.0,19.0,TEXAS
24,,Fort Bend,800.0,549.0,251.0,TEXAS
25,,Goliad,29.0,14.0,15.0,TEXAS
26,,Grayson,160.0,65.0,95.0,TEXAS
27,,Gregg,256.0,106.0,150.0,TEXAS
28,,Hardin,67.0,29.0,38.0,TEXAS
29,,Hays,301.0,144.0,157.0,TEXAS
30,,Hidalgo,773.0,280.0,493.0,TEXAS
31,,Hood,138.0,53.0,85.0,TEXAS
32,,Hudspeth,41.0,14.0,27.0,TEXAS
33,,Hunt,139.0,46.0,93.0,TEXAS
34,,Irion,12.0,5.0,7.0,TEXAS
35,,Jefferson,435.0,169.0,266.0,TEXAS
36,,Johnson,146.0,93.0,53.0,TEXAS
37,,Kaufman,232.0,82.0,150.0,TEXAS
38,,Kendall,81.0,48.0,33.0,TEXAS
39,,Lampasas,37.0,17.0,20.0,TEXAS
40,,Liberty,75.0,52.0,23.0,TEXAS
41,,Lubbock,499.0,212.0,287.0,TEXAS
42,,McLennan,378.0,97.0,281.0,TEXAS
43,,Medina,71.0,33.0,38.0,TEXAS
44,,Midland,198.0,77.0,121.0,TEXAS
45,,Montgomery,789.0,461.0,328.0,TEXAS
46,,Newton,21.0,11.0,10.0,TEXAS
47,,Nueces,298.0,53.0,245.0,TEXAS
48,,Oldham,11.0,6.0,5.0,TEXAS
49,,Orange,131.0,63.0,68.0,TEXAS
50,,Parker,126.0,89.0,37.0,TEXAS
51,,Potter,219.0,98.0,121.0,TEXAS
52,,Randall,196.0,88.0,108.0,TEXAS
53,,Robertson,31.0,13.0,18.0,TEXAS
54,,Rockwall,108.0,34.0,74.0,TEXAS
55,,Rusk,78.0,41.0,37.0,TEXAS
56,,San Patricio,115.0,54.0,61.0,TEXAS
57,,Smith,369.0,172.0,197.0,TEXAS
58,,Tarrant,1337.0,371.0,966.0,TEXAS
59,,Taylor,233.0,83.0,150.0,TEXAS
60,,Tom Green,163.0,61.0,102.0,TEXAS
61,,Travis,1630.0,345.0,1285.0,TEXAS
62,,Victoria,204.0,114.0,90.0,TEXAS
63,,Waller,86.0,61.0,25.0,TEXAS
64,,Webb,331.0,267.0,64.0,TEXAS
65,,Wichita,211.0,82.0,129.0,TEXAS
66,,Williamson,510.0,224.0,286.0,TEXAS
67,,Wilson,79.0,33.0,46.0,TEXAS
68,,Wise,142.0,64.0,78.0,TEXAS
69,False,Anderson,74.0,36.0,38.0,TEXAS
70,,Andrews,36.0,14.0,22.0,TEXAS
71,,Angelina,112.0,49.0,63.0,TEXAS
72,,Baylor,8.0,3.0,5.0,TEXAS
73,,Bee,51.0,21.0,30.0,TEXAS
74,,Blanco,30.0,12.0,18.0,TEXAS
75,,Borden,3.0,2.0,1.0,TEXAS
76,,Bosque,41.0,20.0,21.0,TEXAS
77,,Brewster,15.0,14.0,1.0,TEXAS
78,,Briscoe,3.0,3.0,0.0,TEXAS
79,,Brooks,35.0,11.0,24.0,TEXAS
80,,Brown,68.0,29.0,39.0,TEXAS
81,,Burnet,132.0,45.0,87.0,TEXAS
82,,Calhoun,62.0,25.0,37.0,TEXAS
83,,Camp,18.0,7.0,11.0,TEXAS
84,,Cass,36.0,21.0,15.0,TEXAS
85,,Castro,19.0,6.0,13.0,TEXAS
86,,Cherokee,73.0,34.0,39.0,TEXAS
87,,Childress,21.0,5.0,16.0,TEXAS
88,,Cochran,12.0,6.0,6.0,TEXAS
89,,Coke,6.0,5.0,1.0,TEXAS
90,,Comanche,31.0,11.0,20.0,TEXAS
91,,Concho,12.0,7.0,5.0,TEXAS
92,,Crane,11.0,6.0,5.0,TEXAS
93,,Dawson,19.0,7.0,12.0,TEXAS
94,,Delta,23.0,11.0,12.0,TEXAS
95,,Dickens,7.0,3.0,4.0,TEXAS
96,,Dimmit,70.0,31.0,39.0,TEXAS
97,,Duval,46.0,26.0,20.0,TEXAS
98,,Eastland,31.0,12.0,19.0,TEXAS
99,,Edwards,12.0,6.0,6.0,TEXAS
100,,Erath,60.0,21.0,39.0,TEXAS
101,,Fayette,49.0,26.0,23.0,TEXAS
102,,Floyd,11.0,7.0,4.0,TEXAS
103,,Foard,4.0,3.0,1.0,TEXAS
104,,Franklin,25.0,11.0,14.0,TEXAS
105,,Frio,40.0,19.0,21.0,TEXAS
106,,Gaines,37.0,16.0,21.0,TEXAS
107,,Garza,35.0,8.0,27.0,TEXAS
108,,Glasscock,5.0,4.0,1.0,TEXAS
109,,Gonzales,55.0,20.0,35.0,TEXAS
110,,Gray,43.0,13.0,30.0,TEXAS
111,,Grimes,56.0,31.0,25.0,TEXAS
112,,Hale,69.0,69.0,0.0,TEXAS
113,,Hamilton,14.0,7.0,7.0,TEXAS
114,,Hansford,13.0,7.0,6.0,TEXAS
115,,Hardeman,11.0,7.0,4.0,TEXAS
116,,Hartley,5.0,5.0,0.0,TEXAS
117,,Haskell,12.0,4.0,8.0,TEXAS
118,,Hemphill,14.0,7.0,7.0,TEXAS
119,,Hill,68.0,33.0,35.0,TEXAS
120,,Hockley,26.0,11.0,15.0,TEXAS
121,,Hopkins,65.0,25.0,40.0,TEXAS
122,,Houston,48.0,21.0,27.0,TEXAS
123,,Howard,57.0,21.0,36.0,TEXAS
124,,Hutchinson,33.0,13.0,20.0,TEXAS
125,,Jack,29.0,11.0,18.0,TEXAS
126,,Jackson,34.0,12.0,22.0,TEXAS
127,,Jasper,66.0,18.0,48.0,TEXAS
128,,Jim Wells,70.0,64.0,6.0,TEXAS
129,,Karnes,66.0,32.0,34.0,TEXAS
130,,Kenedy,18.0,11.0,7.0,TEXAS
131,,Kent,7.0,3.0,4.0,TEXAS
132,,Kerr,94.0,45.0,49.0,TEXAS
133,,Kimble,13.0,8.0,5.0,TEXAS
134,,Kinney,15.0,7.0,8.0,TEXAS
135,,Knox,9.0,3.0,6.0,TEXAS
136,,Lamar,76.0,27.0,49.0,TEXAS
137,,Lamb,32.0,13.0,19.0,TEXAS
138,,La Salle,139.0,25.0,114.0,TEXAS
139,,Lavaca,34.0,15.0,19.0,TEXAS
140,,Lee,42.0,14.0,28.0,TEXAS
141,,Leon,46.0,28.0,18.0,TEXAS
142,,Limestone,89.0,23.0,66.0,TEXAS
143,,Lipscomb,10.0,6.0,4.0,TEXAS
144,,Llano,50.0,26.0,24.0,TEXAS
145,,Madison,31.0,13.0,18.0,TEXAS
146,,Marion,12.0,11.0,1.0,TEXAS
147,,Matagorda,74.0,38.0,36.0,TEXAS
148,,Maverick,95.0,39.0,56.0,TEXAS
149,,McCulloch,13.0,6.0,7.0,TEXAS
150,,McMullen,12.0,10.0,2.0,TEXAS
151,,Milam,60.0,19.0,41.0,TEXAS
152,,Mills,18.0,7.0,11.0,TEXAS
153,,Mitchell,20.0,5.0,15.0,TEXAS
154,,Montague,29.0,8.0,21.0,TEXAS
155,,Moore,49.0,17.0,32.0,TEXAS
156,,Morris,22.0,9.0,13.0,TEXAS
157,,Motley,2.0,2.0,0.0,TEXAS
158,,Nacogdoches,86.0,40.0,46.0,TEXAS
159,,Nolan,36.0,12.0,24.0,TEXAS
160,,Ochiltree,20.0,8.0,12.0,TEXAS
161,,Panola,61.0,39.0,22.0,TEXAS
162,,Parmer,18.0,6.0,12.0,TEXAS
163,,Pecos,37.0,22.0,15.0,TEXAS
164,,Polk,107.0,48.0,59.0,TEXAS
165,,Presidio,27.0,8.0,19.0,TEXAS
166,,Rains,27.0,11.0,16.0,TEXAS
167,,Reagan,22.0,14.0,8.0,TEXAS
168,,Real,10.0,5.0,5.0,TEXAS
169,,Red River,25.0,13.0,12.0,TEXAS
170,,Reeves,49.0,21.0,28.0,TEXAS
171,,Refugio,36.0,13.0,23.0,TEXAS
172,,Roberts,6.0,5.0,1.0,TEXAS
173,,Runnels,26.0,6.0,20.0,TEXAS
174,,Sabine,19.0,9.0,10.0,TEXAS
175,,San Augustine,19.0,8.0,11.0,TEXAS
176,,San Jacinto,66.0,36.0,30.0,TEXAS
177,,San Saba,10.0,5.0,5.0,TEXAS
178,,Schleicher,11.0,5.0,6.0,TEXAS
179,,Scurry,38.0,9.0,29.0,TEXAS
180,,Shackelford,12.0,4.0,8.0,TEXAS
181,,Starr,108.0,48.0,60.0,TEXAS
182,,Stephens,20.0,7.0,13.0,TEXAS
183,,Sterling,4.0,4.0,0.0,TEXAS
184,,Stonewall,9.0,3.0,6.0,TEXAS
185,,Swisher,10.0,4.0,6.0,TEXAS
186,,Terry,37.0,12.0,25.0,TEXAS
187,,Trinity,17.0,11.0,6.0,TEXAS
188,,Upton,20.0,10.0,10.0,TEXAS
189,,Uvalde,69.0,32.0,37.0,TEXAS
190,,Val Verde,65.0,44.0,21.0,TEXAS
191,,Van Zandt,71.0,30.0,41.0,TEXAS
192,,Walker,83.0,40.0,43.0,TEXAS
193,,Ward,33.0,14.0,19.0,TEXAS
194,,Wharton,75.0,44.0,31.0,TEXAS
195,,Wheeler,22.0,10.0,12.0,TEXAS
196,,Wilbarger,18.0,7.0,11.0,TEXAS
197,,Willacy,45.0,16.0,29.0,TEXAS
198,,Winkler,30.0,9.0,21.0,TEXAS
199,,Wood,60.0,24.0,36.0,TEXAS
200,,Yoakum,21.0,9.0,12.0,TEXAS
201,,Young,36.0,11.0,25.0,TEXAS
0,True,Acadia,101.0,68.0,33.0,LOUISIANA
1,,Ascension,324.0,270.0,54.0,LOUISIANA
2,,Bossier,403.0,328.0,75.0,LOUISIANA
3,,Caddo,684.0,418.0,266.0,LOUISIANA
4,,Calcasieu,880.0,648.0,232.0,LOUISIANA
5,,Cameron,79.0,69.0,10.0,LOUISIANA
6,,De Soto,30.0,24.0,6.0,LOUISIANA
7,,East Baton Rouge,852.0,739.0,113.0,LOUISIANA
8,,East Feliciana,54.0,54.0,0.0,LOUISIANA
9,,Grant,75.0,33.0,42.0,LOUISIANA
10,,Iberia,271.0,188.0,83.0,LOUISIANA
11,,Iberville,145.0,95.0,50.0,LOUISIANA
12,,Jefferson,1432.0,627.0,805.0,LOUISIANA
13,,Lafayette,796.0,569.0,227.0,LOUISIANA
14,,Lafourche,350.0,267.0,83.0,LOUISIANA
15,,Livingston,280.0,280.0,0.0,LOUISIANA
16,,Ouachita,401.0,401.0,0.0,LOUISIANA
17,,Plaquemines,209.0,209.0,0.0,LOUISIANA
18,,Pointe Coupee,98.0,46.0,52.0,LOUISIANA
19,,Rapides,508.0,414.0,94.0,LOUISIANA
20,,St. Bernard,266.0,244.0,22.0,LOUISIANA
21,,St. Charles,394.0,276.0,118.0,LOUISIANA
22,,St. Helena,45.0,31.0,14.0,LOUISIANA
23,,St. James,99.0,60.0,39.0,LOUISIANA
24,,St. John the Baptist,239.0,237.0,2.0,LOUISIANA
25,,St. Martin,182.0,113.0,69.0,LOUISIANA
26,,St. Tammany,749.0,418.0,331.0,LOUISIANA
27,,Tangipahoa,238.0,119.0,119.0,LOUISIANA
28,,Terrebonne,306.0,306.0,0.0,LOUISIANA
29,,Union,50.0,35.0,15.0,LOUISIANA
30,,Vermilion,128.0,103.0,25.0,LOUISIANA
31,,Webster,60.0,38.0,22.0,LOUISIANA
32,,West Baton Rouge,196.0,150.0,46.0,LOUISIANA
33,,West Feliciana,69.0,69.0,0.0,LOUISIANA
34,False,Allen,64.0,26.0,38.0,LOUISIANA
35,,Assumption,80.0,52.0,28.0,LOUISIANA
36,,Avoyelles,273.0,217.0,56.0,LOUISIANA
37,,Beauregard,87.0,69.0,18.0,LOUISIANA
38,,Bienville,70.0,42.0,28.0,LOUISIANA
39,,Caldwell,30.0,30.0,0.0,LOUISIANA
40,,Catahoula,115.0,22.0,93.0,LOUISIANA
41,,Claiborne,92.0,41.0,51.0,LOUISIANA
42,,Concordia,261.0,27.0,234.0,LOUISIANA
43,,East Carroll,46.0,16.0,30.0,LOUISIANA
44,,Evangeline,28.0,14.0,14.0,LOUISIANA
45,,Franklin,98.0,98.0,0.0,LOUISIANA
46,,Jackson,178.0,42.0,136.0,LOUISIANA
47,,Jefferson Davis,75.0,75.0,0.0,LOUISIANA
48,,La Salle,135.0,30.0,105.0,LOUISIANA
49,,Lincoln,76.0,60.0,16.0,LOUISIANA
50,,Madison,34.0,34.0,0.0,LOUISIANA
51,,Morehouse,144.0,48.0,96.0,LOUISIANA
52,,Natchitoches,180.0,75.0,105.0,LOUISIANA
53,,Red River,59.0,32.0,27.0,LOUISIANA
54,,Richland,133.0,117.0,16.0,LOUISIANA
55,,Sabine,89.0,60.0,29.0,LOUISIANA
56,,St. Landry,200.0,147.0,53.0,LOUISIANA
57,,St. Mary,102.0,102.0,0.0,LOUISIANA
58,,Tensas,36.0,19.0,17.0,LOUISIANA
59,,Vernon,164.0,62.0,102.0,LOUISIANA
60,,Washington,84.0,71.0,13.0,LOUISIANA
61,,West Carroll,21.0,10.0,11.0,LOUISIANA
62,,Winn,29.0,17.0,12.0,LOUISIANA
0,True,Cook,6106.0,1800.0,4306.0,ILLINOIS
1,,Ford,25.0,23.0,2.0,ILLINOIS
2,,Grundy,49.0,31.0,18.0,ILLINOIS
3,,Henry,63.0,22.0,41.0,ILLINOIS
4,,Jackson,87.0,28.0,59.0,ILLINOIS
5,,Kane,268.0,76.0,192.0,ILLINOIS
6,,Kankakee,172.0,46.0,126.0,ILLINOIS
7,,Kendall,108.0,52.0,56.0,ILLINOIS
8,,Macoupin,43.0,20.0,23.0,ILLINOIS
9,,Madison,161.0,81.0,80.0,ILLINOIS
10,,Marshall,24.0,8.0,16.0,ILLINOIS
11,,McHenry,345.0,88.0,257.0,ILLINOIS
12,,McLean,134.0,50.0,84.0,ILLINOIS
13,,Monroe,34.0,16.0,18.0,ILLINOIS
14,,Sangamon,199.0,64.0,135.0,ILLINOIS
15,,Williamson,82.0,27.0,55.0,ILLINOIS
16,False,Brown,7.0,7.0,0.0,ILLINOIS
17,,Clay,16.0,10.0,6.0,ILLINOIS
18,,Cumberland,14.0,5.0,9.0,ILLINOIS
19,,Douglas,20.0,10.0,10.0,ILLINOIS
20,,Effingham,46.0,19.0,27.0,ILLINOIS
21,,Fulton,39.0,20.0,19.0,ILLINOIS
22,,Hancock,19.0,8.0,11.0,ILLINOIS
23,,Iroquois,24.0,13.0,11.0,ILLINOIS
24,,Jefferson,53.0,19.0,34.0,ILLINOIS
25,,Jo Daviess,37.0,18.0,19.0,ILLINOIS
26,,Livingston,69.0,28.0,41.0,ILLINOIS
27,,Logan,27.0,19.0,8.0,ILLINOIS
28,,McDonough,25.0,13.0,12.0,ILLINOIS
29,,Morgan,32.0,14.0,18.0,ILLINOIS
30,,Ogle,77.0,28.0,49.0,ILLINOIS
31,,Perry,32.0,12.0,20.0,ILLINOIS
32,,Putnam,13.0,8.0,5.0,ILLINOIS
33,,Saline,46.0,12.0,34.0,ILLINOIS
34,,Scott,5.0,2.0,3.0,ILLINOIS
35,,Whiteside,48.0,20.0,28.0,ILLINOIS
0,True,Berkeley,68.0,60.0,8.0,WEST VIRGINIA
1,,Boone,29.0,24.0,5.0,WEST VIRGINIA
2,,Brooke,27.0,17.0,10.0,WEST VIRGINIA
3,,Cabell,63.0,43.0,20.0,WEST VIRGINIA
4,,Clay,8.0,3.0,5.0,WEST VIRGINIA
5,,Fayette,38.0,34.0,4.0,WEST VIRGINIA
6,,Hampshire,23.0,19.0,4.0,WEST VIRGINIA
7,,Hancock,32.0,29.0,3.0,WEST VIRGINIA
8,,Jefferson,33.0,27.0,6.0,WEST VIRGINIA
9,,Kanawha,135.0,100.0,35.0,WEST VIRGINIA
10,,Lincoln,7.0,6.0,1.0,WEST VIRGINIA
11,,Marshall,35.0,32.0,3.0,WEST VIRGINIA
12,,Mineral,16.0,14.0,2.0,WEST VIRGINIA
13,,Monongalia,42.0,39.0,3.0,WEST VIRGINIA
14,,Ohio,36.0,34.0,2.0,WEST VIRGINIA
15,,Preston,22.0,20.0,2.0,WEST VIRGINIA
16,,Putnam,61.0,42.0,19.0,WEST VIRGINIA
17,,Raleigh,65.0,48.0,17.0,WEST VIRGINIA
18,,Wayne,24.0,20.0,4.0,WEST VIRGINIA
19,,Wirt,3.0,3.0,0.0,WEST VIRGINIA
20,False,Barbour,10.0,9.0,1.0,WEST VIRGINIA
21,,Braxton,9.0,8.0,1.0,WEST VIRGINIA
22,,Calhoun,3.0,2.0,1.0,WEST VIRGINIA
23,,Doddridge,10.0,8.0,2.0,WEST VIRGINIA
24,,Gilmer,4.0,4.0,0.0,WEST VIRGINIA
25,,Grant,11.0,8.0,3.0,WEST VIRGINIA
26,,Greenbrier,32.0,31.0,1.0,WEST VIRGINIA
27,,Hardy,15.0,13.0,2.0,WEST VIRGINIA
28,,Harrison,53.0,51.0,2.0,WEST VIRGINIA
29,,Jackson,22.0,14.0,8.0,WEST VIRGINIA
30,,Lewis,21.0,15.0,6.0,WEST VIRGINIA
31,,Logan,22.0,20.0,2.0,WEST VIRGINIA
32,,Marion,47.0,32.0,15.0,WEST VIRGINIA
33,,Mason,33.0,19.0,14.0,WEST VIRGINIA
34,,McDowell,16.0,14.0,2.0,WEST VIRGINIA
35,,Mercer,38.0,27.0,11.0,WEST VIRGINIA
36,,Mingo,29.0,21.0,8.0,WEST VIRGINIA
37,,Monroe,8.0,8.0,0.0,WEST VIRGINIA
38,,Morgan,12.0,11.0,1.0,WEST VIRGINIA
39,,Nicholas,27.0,21.0,6.0,WEST VIRGINIA
40,,Pendleton,3.0,3.0,0.0,WEST VIRGINIA
41,,Pleasants,7.0,6.0,1.0,WEST VIRGINIA
42,,Pocahontas,13.0,8.0,5.0,WEST VIRGINIA
43,,Randolph,19.0,14.0,5.0,WEST VIRGINIA
44,,Ritchie,10.0,6.0,4.0,WEST VIRGINIA
45,,Roane,9.0,6.0,3.0,WEST VIRGINIA
46,,Summers,7.0,6.0,1.0,WEST VIRGINIA
47,,Taylor,15.0,8.0,7.0,WEST VIRGINIA
48,,Tucker,7.0,5.0,2.0,WEST VIRGINIA
49,,Tyler,11.0,10.0,1.0,WEST VIRGINIA
50,,Upshur,14.0,12.0,2.0,WEST VIRGINIA
51,,Webster,5.0,4.0,1.0,WEST VIRGINIA
52,,Wetzel,14.0,12.0,2.0,WEST VIRGINIA
53,,Wyoming,20.0,20.0,0.0,WEST VIRGINIA
0,True,Albany,172.0,113.0,59.0,NEW YORK
1,,Broome,62.0,53.0,9.0,NEW YORK
2,,Chemung,49.0,44.0,5.0,NEW YORK
3,,Dutchess,129.0,99.0,30.0,NEW YORK
4,,Erie,197.0,147.0,50.0,NEW YORK
5,,Herkimer,16.0,6.0,10.0,NEW YORK
6,,Jefferson,57.0,40.0,17.0,NEW YORK
7,,Livingston,78.0,51.0,27.0,NEW YORK
8,,Madison,44.0,34.0,10.0,NEW YORK
9,,Monroe,334.0,279.0,55.0,NEW YORK
10,,Nassau,3218.0,2450.0,768.0,NEW YORK
11,,Niagara,155.0,111.0,44.0,NEW YORK
12,,Oneida,113.0,87.0,26.0,NEW YORK
13,,Onondaga,247.0,215.0,32.0,NEW YORK
14,,Ontario,114.0,70.0,44.0,NEW YORK
15,,Orleans,39.0,26.0,13.0,NEW YORK
16,,Oswego,85.0,68.0,17.0,NEW YORK
17,,Putnam,100.0,86.0,14.0,NEW YORK
18,,Rensselaer,43.0,35.0,8.0,NEW YORK
19,,Rockland,149.0,77.0,72.0,NEW YORK
20,,Saratoga,152.0,110.0,42.0,NEW YORK
21,,Schenectady,17.0,11.0,6.0,NEW YORK
22,,Schoharie,31.0,17.0,14.0,NEW YORK
23,,Suffolk,386.0,262.0,124.0,NEW YORK
24,,Suffolk County Police Department,3040.0,2521.0,519.0,NEW YORK
25,,Tioga,55.0,35.0,20.0,NEW YORK
26,,Tompkins,46.0,40.0,6.0,NEW YORK
27,,Ulster,59.0,56.0,3.0,NEW YORK
28,,Warren,104.0,67.0,37.0,NEW YORK
29,,Wayne,69.0,63.0,6.0,NEW YORK
30,,Westchester Public Safety,354.0,283.0,71.0,NEW YORK
31,False,Allegany,45.0,26.0,19.0,NEW YORK
32,,Cattaraugus,81.0,57.0,24.0,NEW YORK
33,,Cayuga,37.0,33.0,4.0,NEW YORK
34,,Chautauqua,111.0,61.0,50.0,NEW YORK
35,,Clinton,25.0,25.0,0.0,NEW YORK
36,,Columbia,67.0,52.0,15.0,NEW YORK
37,,Cortland,41.0,36.0,5.0,NEW YORK
38,,Delaware,24.0,16.0,8.0,NEW YORK
39,,Essex,15.0,15.0,0.0,NEW YORK
40,,Franklin,18.0,8.0,10.0,NEW YORK
41,,Fulton,40.0,25.0,15.0,NEW YORK
42,,Genesee,78.0,50.0,28.0,NEW YORK
43,,Greene,32.0,28.0,4.0,NEW YORK
44,,Hamilton,6.0,5.0,1.0,NEW YORK
45,,Lewis,26.0,17.0,9.0,NEW YORK
46,,Montgomery,49.0,26.0,23.0,NEW YORK
47,,Otsego,20.0,17.0,3.0,NEW YORK
48,,Schuyler,21.0,18.0,3.0,NEW YORK
49,,Seneca,39.0,31.0,8.0,NEW YORK
50,,Steuben,50.0,39.0,11.0,NEW YORK
51,,St. Lawrence,33.0,31.0,2.0,NEW YORK
52,,Sullivan,42.0,42.0,0.0,NEW YORK
